Transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price_per_unit,total_amount,cost_per_unit,profit_per_unit,profit,Payment,customer_type,customer_satisfication
2150,11/19/2021,CUST2150,Male,74,Clothing,1,378,378,216,162,162,cash,New,3
2151,4/30/2022,CUST2151,Female,29,Clothing,7,266,1862,226,40,280,credit card,New,2
2152,1/20/2022,CUST2152,Male,75,Food,5,263,1315,237,26,130,cash,New,1
2153,11/20/2021,CUST2153,Female,18,Beauty,8,372,2976,260,112,896,online,New,5
2154,11/12/2021,CUST2154,Female,75,Food,9,120,1080,98,22,198,credit card,Returning,5
2155,9/8/2021,CUST2155,Female,36,Food,5,260,1300,188,72,360,credit card,New,1
2156,8/24/2022,CUST2156,Female,35,Beauty,5,229,1145,128,101,505,cash,Returning,1
2157,5/8/2021,CUST2157,Male,79,Beauty,8,420,3360,225,195,1560,online,New,1
2158,2/11/2021,CUST2158,Male,70,Beauty,6,404,2424,297,107,642,online,New,2
2159,2/28/2022,CUST2159,Male,22,Beauty,1,372,372,291,81,81,credit card,New,3
2160,6/21/2022,CUST2160,Male,77,Clothing,6,355,2130,264,91,546,online,New,3
2161,7/6/2022,CUST2161,Female,51,Electronics,5,362,1810,211,151,755,credit card,New,3
2162,3/21/2022,CUST2162,Female,36,Beauty,10,193,1930,138,55,550,online,Returning,3
2163,9/5/2022,CUST2163,Male,51,Clothing,10,247,2470,205,42,420,online,New,1
2164,11/19/2021,CUST2164,Female,67,Food,6,224,1344,137,87,522,credit card,Returning,5
2165,6/20/2022,CUST2165,Female,70,Clothing,1,291,291,227,64,64,online,New,2
2166,7/16/2021,CUST2166,Female,16,Electronics,2,88,176,69,19,38,credit card,New,5
2167,10/12/2022,CUST2167,Female,36,Clothing,10,470,4700,370,100,1000,cash,Returning,4
2168,9/26/2021,CUST2168,Male,32,Food,6,30,180,23,7,42,cash,New,2
2169,10/12/2022,CUST2169,Female,76,Electronics,5,320,1600,288,32,160,credit card,Returning,3
2170,7/31/2021,CUST2170,Female,47,Food,6,279,1674,218,61,366,cash,New,5
2171,7/24/2021,CUST2171,Male,29,Clothing,4,144,576,88,56,224,cash,Returning,2
2172,7/30/2021,CUST2172,Female,77,Electronics,4,91,364,81,10,40,online,Returning,2
2173,1/4/2022,CUST2173,Male,72,Electronics,3,129,387,74,55,165,cash,Returning,1
2174,3/8/2021,CUST2174,Female,74,Beauty,9,180,1620,153,27,243,cash,New,3
2175,6/24/2022,CUST2175,Male,63,Food,7,307,2149,232,75,525,credit card,Returning,3
2176,8/9/2022,CUST2176,Female,24,Electronics,8,93,744,81,12,96,online,Returning,5
2177,4/19/2022,CUST2177,Female,49,Clothing,5,404,2020,344,60,300,credit card,Returning,4
2178,12/12/2021,CUST2178,Female,19,Clothing,7,206,1442,151,55,385,online,Returning,2
2179,11/19/2022,CUST2179,Female,22,Electronics,1,330,330,265,65,65,online,New,1
2180,9/6/2021,CUST2180,Female,73,Clothing,2,130,260,79,51,102,cash,New,2
2181,3/19/2021,CUST2181,Male,23,Electronics,2,448,896,363,85,170,cash,Returning,4
2182,11/29/2022,CUST2182,Male,34,Food,1,423,423,300,123,123,online,Returning,4
2183,4/10/2021,CUST2183,Male,24,Clothing,10,192,1920,159,33,330,online,New,3
2184,4/9/2021,CUST2184,Female,57,Food,8,126,1008,105,21,168,cash,Returning,1
2185,9/5/2021,CUST2185,Male,78,Food,10,389,3890,271,118,1180,cash,Returning,3
2186,1/22/2022,CUST2186,Male,41,Beauty,6,496,2976,361,135,810,cash,Returning,4
2187,6/28/2021,CUST2187,Female,59,Clothing,1,466,466,238,228,228,cash,Returning,5
2188,5/1/2021,CUST2188,Male,63,Clothing,6,322,1932,225,97,582,online,Returning,4
2189,7/18/2022,CUST2189,Male,41,Electronics,3,488,1464,376,112,336,online,New,3
2190,3/9/2021,CUST2190,Female,48,Beauty,3,285,855,249,36,108,credit card,Returning,3
2191,6/2/2021,CUST2191,Male,16,Electronics,6,49,294,36,13,78,credit card,New,4
2192,5/1/2021,CUST2192,Female,59,Clothing,5,145,725,75,70,350,online,New,5
2193,10/22/2022,CUST2193,Male,45,Electronics,9,236,2124,161,75,675,cash,New,3
2194,1/31/2021,CUST2194,Female,42,Beauty,7,284,1988,175,109,763,online,New,2
2195,1/4/2022,CUST2195,Female,26,Food,9,105,945,68,37,333,cash,New,1
2196,10/29/2022,CUST2196,Male,60,Beauty,2,34,68,29,5,10,credit card,New,1
2197,5/1/2022,CUST2197,Female,75,Clothing,8,190,1520,112,78,624,cash,New,3
2198,7/8/2022,CUST2198,Female,29,Food,2,322,644,252,70,140,cash,Returning,4
2199,9/19/2022,CUST2199,Male,59,Electronics,8,354,2832,239,115,920,cash,New,1
2200,2/25/2021,CUST2200,Female,64,Clothing,3,206,618,160,46,138,cash,New,2
2201,5/27/2021,CUST2201,Female,51,Beauty,10,297,2970,186,111,1110,credit card,Returning,3
2202,4/1/2021,CUST2202,Female,58,Electronics,10,69,690,37,32,320,online,New,2
2203,9/15/2021,CUST2203,Female,42,Food,5,490,2450,434,56,280,credit card,Returning,2
2204,6/1/2022,CUST2204,Female,75,Beauty,9,226,2034,203,23,207,cash,Returning,5
2205,11/23/2022,CUST2205,Male,73,Beauty,5,424,2120,338,86,430,cash,New,1
2206,12/18/2021,CUST2206,Male,32,Electronics,9,260,2340,187,73,657,credit card,Returning,2
2207,8/17/2022,CUST2207,Male,26,Beauty,7,442,3094,393,49,343,cash,New,3
2208,3/26/2021,CUST2208,Male,30,Beauty,4,54,216,44,10,40,cash,Returning,4
2209,1/25/2022,CUST2209,Female,80,Electronics,2,317,634,262,55,110,cash,Returning,2
2210,3/4/2021,CUST2210,Male,18,Electronics,6,270,1620,205,65,390,online,Returning,1
2211,10/17/2022,CUST2211,Female,50,Electronics,6,77,462,64,13,78,online,Returning,5
2212,9/14/2022,CUST2212,Female,39,Clothing,2,416,832,294,122,244,online,Returning,3
2213,1/15/2022,CUST2213,Male,28,Food,6,390,2340,241,149,894,credit card,Returning,4
2214,5/15/2021,CUST2214,Female,17,Clothing,8,196,1568,128,68,544,cash,New,5
2215,10/16/2021,CUST2215,Female,53,Electronics,7,301,2107,266,35,245,credit card,Returning,2
2216,7/1/2021,CUST2216,Male,76,Food,8,195,1560,151,44,352,online,Returning,4
2217,6/1/2021,CUST2217,Male,43,Electronics,10,243,2430,181,62,620,online,Returning,4
2218,5/11/2021,CUST2218,Male,78,Electronics,2,340,680,287,53,106,cash,New,4
2219,9/14/2022,CUST2219,Female,41,Clothing,9,212,1908,120,92,828,cash,Returning,2
2220,8/22/2021,CUST2220,Female,38,Electronics,7,168,1176,126,42,294,cash,Returning,1
2221,6/5/2021,CUST2221,Female,58,Beauty,5,167,835,102,65,325,credit card,Returning,5
2222,6/18/2022,CUST2222,Male,36,Food,1,158,158,138,20,20,online,Returning,3
2223,5/2/2021,CUST2223,Male,33,Electronics,2,466,932,292,174,348,cash,Returning,1
2224,11/15/2021,CUST2224,Male,43,Beauty,6,427,2562,266,161,966,online,Returning,5
2225,2/28/2021,CUST2225,Female,65,Beauty,8,261,2088,160,101,808,cash,Returning,5
2226,10/4/2022,CUST2226,Female,24,Food,3,254,762,173,81,243,credit card,Returning,3
2227,10/31/2022,CUST2227,Female,51,Electronics,3,216,648,160,56,168,online,Returning,1
2228,11/17/2021,CUST2228,Female,68,Beauty,7,33,231,28,5,35,credit card,New,5
2229,2/26/2021,CUST2229,Female,36,Beauty,10,80,800,43,37,370,credit card,New,5
2230,7/26/2021,CUST2230,Female,65,Electronics,3,289,867,192,97,291,cash,Returning,1
2231,11/25/2022,CUST2231,Female,71,Clothing,4,442,1768,255,187,748,credit card,New,3
2232,5/10/2022,CUST2232,Female,49,Clothing,3,140,420,96,44,132,credit card,Returning,5
2233,1/9/2022,CUST2233,Male,55,Beauty,7,461,3227,390,71,497,cash,Returning,1
2234,2/21/2022,CUST2234,Male,47,Beauty,3,49,147,26,23,69,credit card,Returning,3
2235,1/30/2021,CUST2235,Male,58,Beauty,1,246,246,213,33,33,online,New,4
2236,7/19/2021,CUST2236,Female,42,Food,7,257,1799,137,120,840,credit card,New,4
2237,7/25/2021,CUST2237,Female,38,Beauty,6,372,2232,318,54,324,cash,New,3
2238,8/4/2022,CUST2238,Male,57,Clothing,1,482,482,296,186,186,credit card,New,1
2239,10/15/2022,CUST2239,Female,74,Clothing,3,164,492,140,24,72,credit card,Returning,5
2240,10/29/2022,CUST2240,Male,24,Food,4,240,960,189,51,204,online,New,2
2241,11/25/2022,CUST2241,Female,34,Food,7,48,336,30,18,126,credit card,New,4
2242,1/31/2021,CUST2242,Male,52,Beauty,5,161,805,113,48,240,cash,New,2
2243,10/16/2022,CUST2243,Female,50,Electronics,2,127,254,64,63,126,credit card,New,4
2244,2/6/2021,CUST2244,Male,47,Electronics,10,368,3680,200,168,1680,credit card,Returning,3
2245,9/21/2022,CUST2245,Male,20,Beauty,3,198,594,139,59,177,cash,New,2
2246,5/4/2022,CUST2246,Female,25,Food,4,378,1512,191,187,748,credit card,Returning,2
2247,6/16/2022,CUST2247,Female,75,Clothing,10,184,1840,130,54,540,cash,New,1
2248,3/14/2022,CUST2248,Female,61,Electronics,2,261,522,132,129,258,credit card,Returning,5
2249,7/23/2021,CUST2249,Female,49,Food,9,349,3141,296,53,477,online,New,4
2250,8/27/2022,CUST2250,Male,51,Food,6,81,486,48,33,198,cash,New,3
2251,5/18/2021,CUST2251,Male,31,Beauty,7,389,2723,349,40,280,credit card,New,1
2252,3/4/2021,CUST2252,Male,68,Clothing,7,115,805,97,18,126,online,New,1
2253,3/26/2021,CUST2253,Female,55,Food,3,130,390,96,34,102,credit card,New,5
2254,6/8/2022,CUST2254,Female,61,Food,4,256,1024,229,27,108,online,New,2
2255,8/13/2022,CUST2255,Male,69,Electronics,6,160,960,139,21,126,cash,New,4
2256,9/13/2021,CUST2256,Male,30,Electronics,10,485,4850,336,149,1490,credit card,New,3
2257,6/13/2021,CUST2257,Male,23,Food,8,499,3992,426,73,584,cash,New,4
2258,2/10/2022,CUST2258,Male,48,Food,4,267,1068,175,92,368,cash,New,1
2259,4/27/2022,CUST2259,Male,16,Food,1,244,244,151,93,93,online,New,4
2260,4/26/2021,CUST2260,Female,30,Electronics,8,244,1952,136,108,864,credit card,New,1
2261,6/4/2022,CUST2261,Female,23,Beauty,10,263,2630,135,128,1280,credit card,Returning,3
2262,11/19/2022,CUST2262,Female,18,Beauty,6,180,1080,145,35,210,credit card,New,4
2263,11/17/2021,CUST2263,Male,67,Electronics,1,81,81,64,17,17,online,Returning,3
2264,7/10/2021,CUST2264,Male,71,Electronics,4,56,224,45,11,44,online,New,1
2265,5/24/2022,CUST2265,Male,62,Clothing,1,41,41,22,19,19,online,Returning,3
2266,3/27/2022,CUST2266,Male,42,Food,4,391,1564,234,157,628,online,Returning,4
2267,7/9/2021,CUST2267,Female,44,Clothing,7,139,973,116,23,161,online,Returning,4
2268,7/9/2022,CUST2268,Female,63,Beauty,9,251,2259,149,102,918,cash,New,2
2269,4/19/2022,CUST2269,Male,59,Clothing,3,363,1089,193,170,510,online,Returning,5
2270,9/11/2022,CUST2270,Male,44,Beauty,1,409,409,361,48,48,online,Returning,3
2271,4/5/2021,CUST2271,Male,59,Electronics,4,281,1124,227,54,216,credit card,New,4
2272,10/9/2021,CUST2272,Male,52,Food,7,465,3255,350,115,805,cash,Returning,3
2273,12/28/2021,CUST2273,Female,65,Food,4,121,484,63,58,232,online,New,4
2274,1/21/2022,CUST2274,Male,32,Beauty,7,41,287,28,13,91,online,New,5
2275,7/31/2022,CUST2275,Male,17,Beauty,3,218,654,116,102,306,online,New,5
2276,7/31/2022,CUST2276,Male,60,Clothing,4,171,684,92,79,316,cash,Returning,3
2277,8/9/2022,CUST2277,Male,52,Clothing,5,237,1185,154,83,415,credit card,Returning,4
2278,10/6/2021,CUST2278,Male,46,Electronics,6,251,1506,143,108,648,credit card,New,3
2279,9/6/2021,CUST2279,Female,41,Electronics,2,479,958,311,168,336,online,Returning,4
2280,4/9/2021,CUST2280,Male,67,Beauty,1,223,223,152,71,71,credit card,Returning,5
2281,3/5/2021,CUST2281,Female,76,Clothing,5,45,225,31,14,70,credit card,Returning,5
2282,12/13/2022,CUST2282,Male,24,Clothing,8,407,3256,280,127,1016,credit card,New,4
2283,1/15/2021,CUST2283,Female,68,Electronics,6,153,918,112,41,246,cash,New,3
2284,1/11/2022,CUST2284,Male,17,Beauty,4,278,1112,177,101,404,cash,New,4
2285,8/14/2021,CUST2285,Female,54,Electronics,4,37,148,32,5,20,credit card,New,4
2286,4/17/2021,CUST2286,Female,69,Food,2,61,122,52,9,18,credit card,Returning,2
2287,9/13/2021,CUST2287,Male,70,Food,7,82,574,46,36,252,online,New,3
2288,11/24/2022,CUST2288,Female,79,Clothing,3,59,177,45,14,42,credit card,New,5
2289,3/31/2022,CUST2289,Female,49,Electronics,8,42,336,32,10,80,cash,New,4
2290,10/22/2021,CUST2290,Female,69,Electronics,9,246,2214,144,102,918,online,New,3
2291,12/27/2021,CUST2291,Female,25,Food,10,280,2800,161,119,1190,credit card,New,5
2292,11/1/2021,CUST2292,Male,64,Electronics,8,202,1616,172,30,240,online,Returning,1
2293,1/17/2021,CUST2293,Female,58,Food,3,295,885,228,67,201,online,Returning,2
2294,9/10/2022,CUST2294,Male,78,Beauty,8,329,2632,272,57,456,credit card,Returning,4
2295,8/29/2021,CUST2295,Female,69,Electronics,3,103,309,68,35,105,online,New,2
2296,12/26/2021,CUST2296,Female,41,Clothing,8,444,3552,339,105,840,credit card,Returning,2
2297,5/19/2021,CUST2297,Female,75,Electronics,2,441,882,353,88,176,online,Returning,1
2298,9/13/2021,CUST2298,Female,41,Beauty,4,415,1660,266,149,596,cash,Returning,3
2299,4/29/2022,CUST2299,Female,60,Electronics,7,108,756,85,23,161,credit card,New,4
2300,7/7/2022,CUST2300,Male,53,Food,10,331,3310,233,98,980,credit card,Returning,1
2301,5/12/2021,CUST2301,Male,32,Electronics,8,139,1112,91,48,384,cash,New,4
2302,2/1/2022,CUST2302,Male,80,Beauty,1,210,210,149,61,61,cash,New,3
2303,9/2/2022,CUST2303,Male,67,Beauty,5,60,300,42,18,90,credit card,Returning,1
2304,10/15/2022,CUST2304,Male,22,Beauty,3,134,402,111,23,69,online,New,3
2305,2/1/2021,CUST2305,Female,26,Food,1,359,359,227,132,132,online,Returning,4
2306,12/29/2022,CUST2306,Male,63,Electronics,2,92,184,78,14,28,cash,New,4
2307,6/10/2021,CUST2307,Female,73,Electronics,1,367,367,241,126,126,online,Returning,1
2308,4/15/2021,CUST2308,Female,79,Food,7,46,322,25,21,147,online,New,1
2309,7/9/2021,CUST2309,Male,61,Beauty,9,93,837,73,20,180,cash,New,4
2310,7/7/2022,CUST2310,Female,80,Clothing,4,458,1832,308,150,600,cash,Returning,5
2311,2/9/2022,CUST2311,Female,52,Beauty,3,133,399,113,20,60,online,New,2
2312,8/10/2022,CUST2312,Female,48,Electronics,7,189,1323,155,34,238,cash,New,3
2313,10/6/2021,CUST2313,Male,24,Food,8,328,2624,192,136,1088,cash,New,3
2314,9/14/2021,CUST2314,Female,46,Food,5,403,2015,344,59,295,cash,Returning,2
2315,7/23/2021,CUST2315,Male,76,Clothing,5,159,795,80,79,395,cash,Returning,2
2316,4/30/2022,CUST2316,Female,78,Beauty,8,378,3024,190,188,1504,cash,New,2
2317,4/9/2022,CUST2317,Female,24,Clothing,8,39,312,27,12,96,cash,New,4
2318,10/15/2022,CUST2318,Female,57,Clothing,3,434,1302,232,202,606,cash,New,1
2319,10/25/2022,CUST2319,Female,53,Beauty,5,403,2015,334,69,345,cash,Returning,4
2320,10/18/2021,CUST2320,Female,76,Food,8,93,744,74,19,152,cash,Returning,4
2321,6/3/2022,CUST2321,Female,18,Clothing,8,208,1664,160,48,384,cash,Returning,1
2322,8/4/2021,CUST2322,Male,29,Beauty,5,183,915,118,65,325,credit card,Returning,1
2323,2/17/2022,CUST2323,Female,60,Electronics,10,301,3010,265,36,360,online,New,2
2324,12/30/2022,CUST2324,Female,51,Beauty,5,365,1825,188,177,885,cash,New,3
2325,6/5/2021,CUST2325,Female,78,Beauty,9,55,495,47,8,72,online,Returning,2
2326,7/30/2022,CUST2326,Female,49,Clothing,8,397,3176,220,177,1416,online,Returning,3
2327,1/26/2022,CUST2327,Female,42,Food,9,58,522,34,24,216,credit card,Returning,5
2328,5/9/2021,CUST2328,Male,52,Clothing,6,288,1728,233,55,330,cash,New,3
2329,4/26/2021,CUST2329,Female,19,Beauty,2,323,646,246,77,154,credit card,Returning,3
2330,6/30/2022,CUST2330,Male,76,Beauty,10,466,4660,255,211,2110,online,Returning,2
2331,4/27/2021,CUST2331,Male,38,Food,6,107,642,78,29,174,cash,Returning,1
2332,3/3/2021,CUST2332,Female,49,Electronics,5,189,945,156,33,165,cash,New,5
2333,6/18/2022,CUST2333,Male,25,Electronics,7,402,2814,268,134,938,online,Returning,4
2334,7/4/2021,CUST2334,Male,67,Electronics,7,147,1029,84,63,441,cash,Returning,1
2335,10/30/2022,CUST2335,Male,25,Electronics,7,317,2219,161,156,1092,credit card,New,5
2336,1/18/2022,CUST2336,Male,56,Food,1,152,152,107,45,45,credit card,New,3
2337,1/14/2022,CUST2337,Male,71,Food,4,367,1468,296,71,284,credit card,Returning,1
2338,11/28/2021,CUST2338,Female,44,Beauty,10,130,1300,96,34,340,cash,Returning,3
2339,2/4/2021,CUST2339,Male,80,Clothing,9,391,3519,288,103,927,online,Returning,3
2340,11/5/2021,CUST2340,Male,63,Beauty,3,293,879,217,76,228,cash,Returning,5
2341,2/24/2022,CUST2341,Male,28,Beauty,9,496,4464,264,232,2088,online,Returning,3
2342,6/2/2022,CUST2342,Female,47,Food,6,195,1170,153,42,252,credit card,New,2
2343,12/14/2022,CUST2343,Male,41,Food,7,132,924,115,17,119,cash,Returning,3
2344,12/28/2022,CUST2344,Female,23,Beauty,2,413,826,346,67,134,cash,Returning,2
2345,2/22/2021,CUST2345,Male,45,Clothing,5,223,1115,185,38,190,cash,New,4
2346,9/2/2021,CUST2346,Female,39,Clothing,7,218,1526,139,79,553,online,New,5
2347,11/18/2022,CUST2347,Female,44,Clothing,9,425,3825,270,155,1395,online,Returning,1
2348,7/22/2022,CUST2348,Male,48,Clothing,4,293,1172,180,113,452,online,New,3
2349,12/12/2022,CUST2349,Female,24,Clothing,2,152,304,104,48,96,credit card,New,4
2350,12/14/2021,CUST2350,Male,69,Beauty,3,239,717,153,86,258,online,New,5
2351,10/6/2021,CUST2351,Male,45,Food,3,308,924,249,59,177,credit card,Returning,1
2352,4/22/2022,CUST2352,Male,44,Beauty,6,205,1230,132,73,438,cash,Returning,1
2353,3/20/2021,CUST2353,Male,75,Food,3,393,1179,277,116,348,credit card,New,2
2354,3/17/2022,CUST2354,Female,33,Clothing,1,141,141,80,61,61,cash,Returning,1
2355,4/8/2022,CUST2355,Male,61,Food,10,474,4740,297,177,1770,online,New,5
2356,9/16/2021,CUST2356,Female,70,Clothing,5,313,1565,234,79,395,cash,Returning,4
2357,1/3/2021,CUST2357,Female,41,Electronics,10,460,4600,303,157,1570,credit card,New,3
2358,6/9/2022,CUST2358,Female,40,Beauty,6,208,1248,128,80,480,online,Returning,3
2359,3/24/2022,CUST2359,Female,26,Electronics,4,261,1044,162,99,396,credit card,Returning,4
2360,5/22/2021,CUST2360,Male,22,Electronics,6,137,822,98,39,234,cash,New,1
2361,11/23/2021,CUST2361,Male,16,Food,3,283,849,250,33,99,credit card,New,2
2362,12/4/2022,CUST2362,Female,30,Clothing,9,484,4356,339,145,1305,cash,New,2
2363,9/20/2022,CUST2363,Male,20,Electronics,5,409,2045,260,149,745,online,Returning,1
2364,12/5/2022,CUST2364,Female,32,Clothing,6,471,2826,346,125,750,cash,Returning,1
2365,3/21/2021,CUST2365,Male,46,Food,7,103,721,77,26,182,cash,New,3
2366,7/9/2021,CUST2366,Male,73,Clothing,10,492,4920,311,181,1810,cash,New,5
2367,12/19/2022,CUST2367,Male,36,Clothing,5,233,1165,204,29,145,cash,Returning,5
2368,4/8/2022,CUST2368,Male,18,Clothing,5,78,390,62,16,80,credit card,New,2
2369,9/14/2022,CUST2369,Female,23,Beauty,9,289,2601,242,47,423,cash,New,1
2370,5/14/2022,CUST2370,Female,71,Food,8,337,2696,187,150,1200,credit card,Returning,2
2371,2/17/2022,CUST2371,Female,64,Clothing,7,97,679,69,28,196,cash,New,5
2372,6/11/2022,CUST2372,Female,37,Clothing,2,310,620,278,32,64,credit card,Returning,2
2373,12/11/2021,CUST2373,Female,57,Food,1,373,373,301,72,72,cash,New,5
2374,9/30/2021,CUST2374,Female,78,Beauty,3,210,630,132,78,234,credit card,New,5
2375,2/12/2022,CUST2375,Female,34,Beauty,6,463,2778,389,74,444,online,New,5
2376,10/18/2022,CUST2376,Male,46,Clothing,8,310,2480,176,134,1072,cash,Returning,1
2377,4/12/2022,CUST2377,Male,37,Clothing,7,390,2730,272,118,826,cash,Returning,5
2378,2/20/2022,CUST2378,Female,59,Clothing,7,415,2905,276,139,973,online,New,3
2379,1/9/2022,CUST2379,Female,52,Electronics,3,413,1239,361,52,156,online,New,5
2380,7/19/2021,CUST2380,Male,51,Clothing,9,265,2385,214,51,459,online,Returning,2
2381,10/9/2022,CUST2381,Female,79,Clothing,7,52,364,28,24,168,cash,New,4
2382,4/13/2021,CUST2382,Male,35,Clothing,8,170,1360,126,44,352,credit card,Returning,1
2383,8/19/2021,CUST2383,Male,28,Electronics,7,449,3143,398,51,357,online,Returning,3
2384,4/5/2021,CUST2384,Male,39,Clothing,1,368,368,234,134,134,online,New,3
2385,8/12/2022,CUST2385,Male,25,Beauty,10,57,570,48,9,90,credit card,Returning,1
2386,12/4/2022,CUST2386,Male,18,Clothing,9,178,1602,89,89,801,credit card,Returning,1
2387,11/4/2021,CUST2387,Male,78,Food,5,301,1505,209,92,460,cash,New,5
2388,2/20/2022,CUST2388,Female,26,Food,8,320,2560,259,61,488,credit card,New,3
2389,4/3/2021,CUST2389,Female,75,Electronics,4,295,1180,255,40,160,cash,New,3
2390,5/24/2021,CUST2390,Female,51,Electronics,6,395,2370,307,88,528,cash,New,4
2391,12/16/2021,CUST2391,Female,33,Food,7,405,2835,314,91,637,cash,New,3
2392,1/13/2021,CUST2392,Male,49,Food,3,430,1290,387,43,129,credit card,New,5
2393,6/26/2021,CUST2393,Female,76,Clothing,7,341,2387,199,142,994,cash,Returning,2
2394,11/13/2022,CUST2394,Female,73,Clothing,2,149,298,80,69,138,online,New,1
2395,7/1/2021,CUST2395,Female,43,Clothing,4,212,848,165,47,188,cash,Returning,2
2396,8/27/2021,CUST2396,Male,30,Electronics,4,205,820,142,63,252,online,New,1
2397,12/8/2022,CUST2397,Male,31,Clothing,6,293,1758,199,94,564,online,Returning,1
2398,2/8/2022,CUST2398,Female,17,Beauty,10,263,2630,210,53,530,cash,New,4
2399,7/26/2021,CUST2399,Male,56,Beauty,1,461,461,285,176,176,credit card,Returning,1
