Transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price _per _unit,total_amount,cost_per_unit,profit_per_unit,profit,payment,customer_type,customer_satisfication
97,10/13/2023,CUST097,Female,51,Beauty,3,239,717,127,112,336,online,New,2
98,4/23/2023,CUST098,Female,55,Beauty,2,97,194,71,26,52,online,Returning,3
99,12/17/2023,CUST099,Female,50,Food,9,136,1224,108,28,252,online,New,5
100,6/16/2023,CUST100,Male,41,Clothing,1,273,273,239,34,34,credit card,Returning,5
101,1/29/2023,CUST101,Male,32,Beauty,7,222,1554,114,108,756,cash,New,5
102,4/28/2023,CUST102,Female,47,Food,7,173,1211,106,67,469,online,New,2
103,1/17/2023,CUST103,Female,59,Electronics,10,161,1610,134,27,270,credit card,New,3
104,6/11/2023,CUST104,Female,34,Food,6,102,612,77,25,150,credit card,Returning,4
105,7/25/2023,CUST105,Female,22,Clothing,9,211,1899,111,100,900,online,Returning,4
106,5/18/2023,CUST106,Female,46,Clothing,3,349,1047,287,62,186,online,Returning,3
107,2/3/2023,CUST107,Female,21,Clothing,4,247,988,212,35,140,cash,New,1
108,4/19/2023,CUST108,Female,27,Beauty,3,407,1221,359,48,144,online,New,5
109,10/18/2023,CUST109,Female,34,Electronics,8,326,2608,279,47,376,credit card,New,1
110,6/11/2023,CUST110,Male,27,Beauty,7,378,2646,221,157,1099,cash,Returning,1
111,4/19/2023,CUST111,Female,34,Clothing,3,178,534,124,54,162,credit card,New,1
112,12/2/2023,CUST112,Male,37,Food,7,65,455,48,17,119,cash,Returning,2
113,9/13/2023,CUST113,Female,41,Clothing,3,184,552,116,68,204,online,Returning,3
114,7/22/2023,CUST114,Female,22,Beauty,5,461,2305,282,179,895,online,Returning,1
115,11/26/2023,CUST115,Male,51,Beauty,6,358,2148,254,104,624,cash,New,1
116,8/23/2023,CUST116,Female,23,Food,7,349,2443,181,168,1176,credit card,New,1
117,3/15/2023,CUST117,Male,19,Beauty,4,245,980,129,116,464,cash,New,4
118,5/16/2023,CUST118,Female,30,Food,9,396,3564,286,110,990,credit card,New,3
119,3/13/2023,CUST119,Female,60,Clothing,1,274,274,225,49,49,cash,New,4
120,5/7/2023,CUST120,Male,60,Electronics,9,222,1998,147,75,675,credit card,Returning,1
121,10/15/2023,CUST121,Female,28,Food,7,461,3227,349,112,784,cash,Returning,2
122,10/3/2023,CUST122,Male,64,Food,3,323,969,252,71,213,credit card,Returning,2
123,5/15/2023,CUST123,Female,40,Electronics,6,180,1080,148,32,192,credit card,Returning,3
124,10/27/2023,CUST124,Male,33,Clothing,7,395,2765,286,109,763,cash,New,3
125,8/8/2023,CUST125,Male,48,Clothing,9,215,1935,134,81,729,credit card,Returning,5
126,10/26/2023,CUST126,Female,28,Electronics,9,246,2214,128,118,1062,cash,New,1
127,7/24/2023,CUST127,Female,33,Beauty,6,109,654,63,46,276,online,New,3
128,7/5/2023,CUST128,Male,25,Food,9,188,1692,126,62,558,cash,New,3
129,4/23/2023,CUST129,Female,21,Clothing,6,115,690,79,36,216,cash,New,4
130,3/12/2023,CUST130,Female,57,Food,10,422,4220,272,150,1500,credit card,Returning,3
131,9/18/2023,CUST131,Female,21,Food,6,236,1416,135,101,606,cash,Returning,1
132,9/10/2023,CUST132,Male,42,Food,8,231,1848,176,55,440,online,Returning,2
133,2/16/2023,CUST133,Male,20,Beauty,1,289,289,205,84,84,credit card,Returning,1
134,1/25/2023,CUST134,Male,49,Electronics,10,394,3940,307,87,870,online,Returning,3
135,2/26/2023,CUST135,Male,20,Beauty,6,206,1236,117,89,534,credit card,Returning,2
136,3/20/2023,CUST136,Male,44,Food,2,216,432,151,65,130,online,Returning,1
137,11/18/2023,CUST137,Male,46,Electronics,10,75,750,67,8,80,cash,New,2
138,3/23/2023,CUST138,Male,49,Beauty,7,208,1456,119,89,623,credit card,Returning,1
139,12/15/2023,CUST139,Male,36,Electronics,3,398,1194,231,167,501,cash,New,5
140,8/5/2023,CUST140,Male,38,Clothing,9,200,1800,105,95,855,credit card,Returning,3
141,11/2/2023,CUST141,Female,22,Electronics,3,305,915,212,93,279,online,New,3
142,2/2/2023,CUST142,Male,35,Food,4,201,804,149,52,208,credit card,Returning,4
143,7/17/2023,CUST143,Female,45,Clothing,7,156,1092,104,52,364,cash,New,1
144,7/15/2023,CUST144,Female,59,Electronics,2,398,796,262,136,272,cash,New,4
145,11/2/2023,CUST145,Female,39,Electronics,9,269,2421,145,124,1116,online,New,5
146,8/28/2023,CUST146,Male,38,Electronics,6,467,2802,350,117,702,cash,New,1
147,9/28/2023,CUST147,Male,23,Electronics,6,425,2550,340,85,510,online,Returning,5
148,5/9/2023,CUST148,Male,18,Beauty,9,181,1629,107,74,666,online,Returning,1
149,10/11/2023,CUST149,Male,22,Electronics,9,288,2592,245,43,387,credit card,Returning,5
150,1/6/2023,CUST150,Female,58,Food,10,392,3920,314,78,780,online,Returning,2
151,12/15/2023,CUST151,Male,29,Electronics,3,145,435,97,48,144,cash,Returning,1
152,2/28/2023,CUST152,Male,43,Electronics,1,87,87,62,25,25,credit card,Returning,1
153,12/16/2023,CUST153,Male,63,Clothing,5,419,2095,306,113,565,cash,Returning,3
154,10/2/2023,CUST154,Male,51,Beauty,8,175,1400,142,33,264,online,New,5
155,5/17/2023,CUST155,Male,31,Beauty,8,385,3080,229,156,1248,credit card,Returning,4
156,11/25/2023,CUST156,Female,43,Clothing,4,94,376,68,26,104,cash,Returning,2
157,6/24/2023,CUST157,Male,62,Food,8,363,2904,326,37,296,cash,New,2
158,2/27/2023,CUST158,Female,44,Beauty,3,335,1005,189,146,438,credit card,Returning,4
159,5/31/2023,CUST159,Male,26,Clothing,2,231,462,153,78,156,online,Returning,4
160,8/11/2023,CUST160,Female,43,Beauty,1,489,489,347,142,142,cash,New,2
161,3/22/2023,CUST161,Male,64,Food,1,289,289,178,111,111,cash,New,5
162,8/21/2023,CUST162,Male,39,Clothing,5,410,2050,278,132,660,credit card,Returning,3
163,1/2/2023,CUST163,Female,64,Food,3,113,339,91,22,66,cash,Returning,2
164,5/15/2023,CUST164,Female,47,Beauty,1,311,311,243,68,68,credit card,New,3
165,9/14/2023,CUST165,Female,60,Beauty,7,418,2926,254,164,1148,online,Returning,3
166,4/2/2023,CUST166,Male,34,Electronics,8,245,1960,129,116,928,cash,New,5
167,9/17/2023,CUST167,Female,43,Electronics,9,383,3447,258,125,1125,credit card,New,1
168,2/24/2023,CUST168,Male,53,Clothing,4,259,1036,150,109,436,cash,Returning,5
169,11/17/2023,CUST169,Male,18,Electronics,5,40,200,28,12,60,online,New,5
170,6/2/2023,CUST170,Female,25,Clothing,3,259,777,200,59,177,online,New,5
171,11/24/2023,CUST171,Female,52,Clothing,9,201,1809,133,68,612,credit card,New,5
172,9/17/2023,CUST172,Male,32,Beauty,5,443,2215,327,116,580,online,New,3
173,11/8/2023,CUST173,Male,64,Clothing,6,331,1986,225,106,636,cash,Returning,5
174,4/12/2023,CUST174,Female,39,Electronics,5,214,1070,153,61,305,credit card,Returning,2
175,3/20/2023,CUST175,Female,31,Electronics,5,401,2005,301,100,500,credit card,New,4
176,7/11/2023,CUST176,Female,43,Clothing,1,337,337,177,160,160,online,Returning,1
177,3/24/2023,CUST177,Male,45,Clothing,2,246,492,144,102,204,credit card,New,3
178,10/4/2023,CUST178,Male,40,Electronics,5,220,1100,187,33,165,credit card,New,1
179,9/29/2023,CUST179,Male,31,Food,1,215,215,122,93,93,credit card,New,2
180,1/1/2023,CUST180,Male,41,Food,4,320,1280,210,110,440,credit card,Returning,3
181,11/3/2023,CUST181,Male,19,Food,10,319,3190,279,40,400,cash,Returning,5
182,6/15/2023,CUST182,Male,62,Electronics,1,68,68,46,22,22,cash,Returning,5
183,9/8/2023,CUST183,Female,43,Electronics,9,148,1332,89,59,531,cash,Returning,2
184,1/10/2023,CUST184,Male,31,Clothing,1,434,434,265,169,169,online,Returning,2
185,2/27/2023,CUST185,Male,24,Food,3,184,552,152,32,96,online,New,5
186,7/5/2023,CUST186,Male,20,Beauty,5,196,980,122,74,370,credit card,New,2
187,6/7/2023,CUST187,Female,64,Beauty,9,412,3708,314,98,882,cash,Returning,3
188,5/3/2023,CUST188,Male,40,Food,5,359,1795,255,104,520,cash,Returning,1
189,1/30/2023,CUST189,Male,63,Electronics,10,491,4910,339,152,1520,credit card,New,4
190,5/4/2023,CUST190,Female,60,Electronics,1,471,471,305,166,166,online,Returning,3
191,10/18/2023,CUST191,Male,64,Food,10,433,4330,244,189,1890,online,New,2
192,2/10/2023,CUST192,Male,62,Food,2,178,356,129,49,98,online,Returning,3
193,2/13/2023,CUST193,Male,35,Food,9,468,4212,334,134,1206,cash,New,1
194,9/6/2023,CUST194,Male,55,Clothing,3,243,729,145,98,294,online,New,3
195,2/5/2023,CUST195,Male,52,Electronics,4,396,1584,312,84,336,cash,New,1
196,9/30/2023,CUST196,Female,32,Food,10,468,4680,272,196,1960,online,New,1
197,3/6/2023,CUST197,Female,42,Electronics,6,369,2214,288,81,486,credit card,New,3
198,3/7/2023,CUST198,Female,54,Electronics,10,111,1110,60,51,510,credit card,Returning,1
199,12/4/2023,CUST199,Male,45,Clothing,7,451,3157,238,213,1491,online,Returning,4
200,9/1/2023,CUST200,Male,27,Electronics,5,176,880,151,25,125,online,New,1
201,10/9/2023,CUST201,Male,56,Clothing,1,221,221,152,69,69,credit card,New,1
202,3/26/2023,CUST202,Female,34,Beauty,4,193,772,132,61,244,online,Returning,3
203,5/16/2023,CUST203,Male,56,Electronics,10,270,2700,216,54,540,online,New,3
204,9/28/2023,CUST204,Male,39,Beauty,7,83,581,44,39,273,cash,Returning,5
205,11/7/2023,CUST205,Female,43,Electronics,4,121,484,106,15,60,online,Returning,4
206,8/5/2023,CUST206,Male,61,Beauty,3,189,567,160,29,87,cash,New,1
207,4/19/2023,CUST207,Female,42,Food,8,75,600,38,37,296,cash,Returning,5
208,10/4/2023,CUST208,Female,34,Clothing,8,446,3568,261,185,1480,cash,Returning,2
209,12/20/2023,CUST209,Female,30,Electronics,2,440,880,220,220,440,credit card,Returning,4
210,4/13/2023,CUST210,Male,37,Food,1,412,412,335,77,77,credit card,New,1
211,1/1/2024,CUST211,Male,42,Electronics,1,440,440,286,154,154,online,Returning,5
212,6/9/2023,CUST212,Male,21,Electronics,1,344,344,270,74,74,credit card,Returning,1
213,7/24/2023,CUST213,Male,27,Beauty,4,360,1440,306,54,216,cash,New,5
214,12/10/2023,CUST214,Male,20,Electronics,9,330,2970,223,107,963,online,Returning,4
215,11/29/2023,CUST215,Male,58,Beauty,5,175,875,151,24,120,online,New,5
216,7/11/2023,CUST216,Male,62,Electronics,7,350,2450,180,170,1190,cash,Returning,5
217,8/13/2023,CUST217,Female,35,Food,4,317,1268,250,67,268,credit card,New,3
218,9/22/2023,CUST218,Male,64,Clothing,1,249,249,165,84,84,online,Returning,5
219,8/20/2023,CUST219,Female,53,Clothing,8,297,2376,194,103,824,cash,Returning,2
220,3/3/2023,CUST220,Male,64,Clothing,6,301,1806,174,127,762,credit card,Returning,1
221,5/7/2023,CUST221,Male,39,Clothing,2,471,942,347,124,248,credit card,New,4
222,4/26/2023,CUST222,Male,51,Food,3,449,1347,401,48,144,credit card,New,1
223,2/2/2023,CUST223,Female,64,Electronics,6,392,2352,290,102,612,online,Returning,4
224,6/23/2023,CUST224,Female,25,Clothing,7,425,2975,295,130,910,cash,Returning,4
225,1/11/2023,CUST225,Female,57,Food,10,440,4400,279,161,1610,online,New,3
226,10/29/2023,CUST226,Female,61,Clothing,2,485,970,381,104,208,cash,New,5
227,10/11/2023,CUST227,Male,36,Clothing,3,175,525,139,36,108,credit card,Returning,4
228,4/28/2023,CUST228,Female,59,Clothing,10,364,3640,322,42,420,online,Returning,3
229,10/29/2023,CUST229,Male,58,Beauty,9,269,2421,191,78,702,online,Returning,2
230,4/23/2023,CUST230,Male,54,Clothing,1,309,309,197,112,112,online,New,3
231,1/4/2023,CUST231,Female,23,Clothing,9,412,3708,308,104,936,cash,New,3
232,2/6/2023,CUST232,Female,43,Food,2,338,676,228,110,220,online,Returning,3
233,12/29/2023,CUST233,Female,51,Electronics,3,67,201,47,20,60,online,Returning,3
234,11/20/2023,CUST234,Female,62,Electronics,3,69,207,44,25,75,credit card,Returning,2
235,1/31/2023,CUST235,Female,23,Food,6,163,978,138,25,150,credit card,New,1
236,4/28/2023,CUST236,Female,54,Clothing,1,198,198,158,40,40,online,Returning,4
237,2/4/2023,CUST237,Female,50,Beauty,8,344,2752,273,71,568,online,Returning,1
238,1/17/2023,CUST238,Female,39,Food,10,107,1070,88,19,190,cash,Returning,3
239,6/19/2023,CUST239,Male,38,Beauty,1,220,220,124,96,96,online,New,4
240,2/6/2023,CUST240,Female,23,Electronics,9,408,3672,264,144,1296,credit card,Returning,1
241,9/21/2023,CUST241,Female,23,Electronics,10,332,3320,243,89,890,online,New,5
242,5/2/2023,CUST242,Male,21,Food,1,301,301,192,109,109,credit card,New,3
243,5/23/2023,CUST243,Female,47,Food,8,91,728,80,11,88,online,New,2
244,12/9/2023,CUST244,Male,28,Clothing,8,207,1656,161,46,368,cash,New,1
245,9/6/2023,CUST245,Male,47,Food,1,309,309,256,53,53,cash,New,3
246,4/20/2023,CUST246,Female,48,Food,4,430,1720,216,214,856,online,Returning,3
247,10/4/2023,CUST247,Male,41,Beauty,7,185,1295,120,65,455,credit card,New,5
248,3/9/2023,CUST248,Male,26,Clothing,1,146,146,84,62,62,cash,Returning,3
249,10/20/2023,CUST249,Male,20,Beauty,9,139,1251,122,17,153,online,Returning,5
250,10/23/2023,CUST250,Male,48,Food,4,135,540,69,66,264,credit card,New,1
251,8/31/2023,CUST251,Female,57,Food,7,170,1190,97,73,511,credit card,New,1
252,5/5/2023,CUST252,Male,54,Food,8,54,432,32,22,176,online,Returning,1
253,8/31/2023,CUST253,Female,53,Food,10,383,3830,265,118,1180,online,Returning,2
254,7/28/2023,CUST254,Male,41,Clothing,9,211,1899,149,62,558,cash,New,3
255,4/8/2023,CUST255,Male,48,Beauty,10,276,2760,214,62,620,cash,Returning,4
256,2/18/2023,CUST256,Male,23,Electronics,5,444,2220,242,202,1010,cash,New,5
257,2/19/2023,CUST257,Male,19,Electronics,6,498,2988,286,212,1272,credit card,Returning,3
258,12/4/2023,CUST258,Female,37,Electronics,1,44,44,22,22,22,cash,New,1
259,8/9/2023,CUST259,Female,45,Beauty,8,470,3760,344,126,1008,online,Returning,2
260,7/1/2023,CUST260,Male,28,Food,5,131,655,73,58,290,online,Returning,4
261,8/5/2023,CUST261,Male,21,Food,4,197,788,168,29,116,credit card,New,3
262,7/30/2023,CUST262,Female,32,Beauty,9,394,3546,312,82,738,online,New,4
263,8/28/2023,CUST263,Male,23,Electronics,9,62,558,40,22,198,credit card,Returning,1
264,1/28/2023,CUST264,Male,47,Electronics,4,289,1156,233,56,224,credit card,New,3
265,12/11/2023,CUST265,Male,55,Food,5,317,1585,236,81,405,online,New,3
266,12/1/2023,CUST266,Female,19,Electronics,7,277,1939,151,126,882,cash,Returning,4
267,11/27/2023,CUST267,Female,32,Clothing,10,439,4390,346,93,930,credit card,New,3
268,2/20/2023,CUST268,Female,28,Beauty,4,238,952,179,59,236,credit card,Returning,4
269,2/1/2023,CUST269,Male,25,Food,1,445,445,306,139,139,cash,Returning,3
270,7/26/2023,CUST270,Male,43,Clothing,3,147,441,84,63,189,online,New,1
271,6/23/2023,CUST271,Female,62,Beauty,6,121,726,106,15,90,online,Returning,3
272,2/25/2023,CUST272,Female,61,Beauty,6,437,2622,326,111,666,online,New,3
273,5/8/2023,CUST273,Female,22,Beauty,10,227,2270,188,39,390,cash,New,2
274,4/9/2023,CUST274,Female,23,Electronics,9,51,459,33,18,162,online,New,1
275,4/8/2023,CUST275,Male,43,Electronics,4,402,1608,304,98,392,online,Returning,1
276,10/2/2023,CUST276,Female,21,Electronics,2,333,666,243,90,180,online,New,4
277,8/18/2023,CUST277,Male,36,Beauty,6,72,432,36,36,216,cash,New,1
278,3/13/2023,CUST278,Female,37,Food,4,481,1924,379,102,408,cash,Returning,3
279,8/5/2023,CUST279,Male,50,Food,1,66,66,37,29,29,credit card,Returning,4
280,4/4/2023,CUST280,Female,37,Clothing,4,156,624,130,26,104,credit card,Returning,3
281,5/23/2023,CUST281,Female,29,Food,4,42,168,24,18,72,cash,New,4
282,8/25/2023,CUST282,Female,64,Beauty,9,58,522,51,7,63,cash,Returning,4
283,5/8/2023,CUST283,Female,18,Clothing,2,231,462,195,36,72,online,New,1
284,2/8/2023,CUST284,Male,43,Clothing,9,443,3987,364,79,711,online,Returning,4
285,8/15/2023,CUST285,Female,31,Beauty,10,329,3290,169,160,1600,credit card,New,3
286,10/9/2023,CUST286,Male,55,Food,9,329,2961,260,69,621,cash,Returning,2
287,2/20/2023,CUST287,Male,54,Clothing,9,56,504,46,10,90,cash,New,3
288,1/26/2023,CUST288,Male,28,Beauty,2,473,946,252,221,442,online,Returning,4
289,11/30/2023,CUST289,Male,53,Clothing,4,163,652,135,28,112,credit card,New,4
290,10/4/2023,CUST290,Female,30,Beauty,4,296,1184,201,95,380,credit card,New,5
291,1/8/2023,CUST291,Male,60,Clothing,9,430,3870,239,191,1719,cash,Returning,3
292,2/17/2023,CUST292,Male,20,Food,6,485,2910,262,223,1338,credit card,New,4
293,5/2/2023,CUST293,Male,50,Electronics,6,73,438,51,22,132,cash,New,3
294,3/27/2023,CUST294,Female,23,Electronics,10,497,4970,427,70,700,online,New,2
295,7/28/2023,CUST295,Female,27,Food,10,352,3520,256,96,960,online,Returning,3
296,9/6/2023,CUST296,Female,22,Clothing,10,190,1900,132,58,580,cash,New,3
297,9/4/2023,CUST297,Female,40,Beauty,8,345,2760,183,162,1296,cash,New,2
298,4/20/2023,CUST298,Male,27,Clothing,7,191,1337,168,23,161,credit card,Returning,5
299,7/25/2023,CUST299,Male,61,Beauty,7,437,3059,228,209,1463,online,Returning,4
300,1/31/2023,CUST300,Female,19,Clothing,4,499,1996,406,93,372,cash,Returning,4
301,3/26/2023,CUST301,Male,30,Beauty,6,286,1716,257,29,174,credit card,New,5
302,7/14/2023,CUST302,Male,57,Beauty,4,294,1176,164,130,520,credit card,New,3
303,1/2/2023,CUST303,Male,19,Beauty,6,59,354,35,24,144,online,Returning,2
304,7/19/2023,CUST304,Female,37,Clothing,10,498,4980,269,229,2290,credit card,New,1
305,5/16/2023,CUST305,Female,18,Clothing,10,340,3400,255,85,850,online,New,3
306,8/21/2023,CUST306,Male,54,Electronics,9,90,810,64,26,234,cash,Returning,2
307,5/27/2023,CUST307,Female,26,Food,1,246,246,160,86,86,online,New,3
308,8/5/2023,CUST308,Female,34,Food,6,247,1482,164,83,498,online,New,3
309,12/23/2023,CUST309,Female,26,Clothing,10,302,3020,252,50,500,credit card,Returning,5
310,10/12/2023,CUST310,Female,28,Clothing,2,477,954,405,72,144,cash,New,3
311,12/5/2023,CUST311,Female,32,Food,3,252,756,168,84,252,cash,New,1
312,9/7/2023,CUST312,Male,41,Beauty,7,440,3080,390,50,350,online,Returning,3
313,3/21/2023,CUST313,Female,55,Clothing,5,99,495,53,46,230,cash,Returning,4
